indicator_code,item_no,text_th
1.2-B,1,หลักฐานคุณลักษณะที่พึงประสงค์ (รักชาติ ศาสน์ กษัตริย์ ซื่อสัตย์ วินัย ใฝ่รู้ ฯลฯ)
1.2-B,2,จิตสาธารณะ–พลโลก–อนุรักษ์ภูมิปัญญา/สิ่งแวดล้อม/วัฒนธรรมไทย
1.3-B,1,หลักฐานการนำตนเองในการเรียนรู้และการประเมินตนเองของผู้เรียน
2.1-B,1,มีส่วนร่วมกำหนดวิสัยทัศน์ พันธกิจ ค่านิยมและสื่อสารทั่วถึง
2.2-B,1,นโยบาย–กลยุทธ์–แผนงานสอดคล้องวิสัยทัศน์/พันธกิจและประเมินต่อเนื่อง
2.3-B,1,หลักธรรมาภิบาล/รับฟังข้อเสนอแนะผู้มีส่วนเกี่ยวข้อง
2.4-B,1,แผนพัฒนาครู/บุคลากร ครอบคลุมความรู้ ทักษะ ความปลอดภัย การคุ้มครอง
2.5-B,1,ระบบนิเทศติดตามผลการปฏิบัติงานครูและนำผลสู่การพัฒนา
2.6-B,1,เทคโนโลยี–สื่อ–อุปกรณ์สนับสนุนการเรียนรู้และการประเมินผลการใช้
2.7-B,1,อาคาร–สภาพแวดล้อมปลอดภัย ถูกสุขลักษณะ มีแผนบำรุงรักษา
2.8-B,1,สวัสดิการ/สวัสดิภาพ/ป้องกันโรค–อุบัติภัย–ภัยพิบัติ และการซักซ้อม
2.9-B,1,ระบบดูแลช่วยเหลือผู้เรียนแบบบูรณาการ
2.10-B,1,เครือข่ายผู้ปกครอง–องค์กร–ชุมชน ร่วมสนับสนุนการจัดการเรียนรู้
3.1-B,1,หลักสูตร/แผนการสอนเน้นสมรรถนะ–คุณลักษณะ
3.2-B,1,กิจกรรมการเรียนรู้เชิงรุกและการมีส่วนร่วมของผู้เรียน
3.3-B,1,ระบบวัดและประเมินผลอย่างเป็นระบบและต่อเนื่อง
